Data,Type,data_type,data_shape,data_size
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjection,Dataset,float64,"(1600,)",1600
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/imageRawData,Dataset,int16,"(1200, 1600)",1920000
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/imageTimeStamp,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityHistogram,Dataset,int32,"(1000,)",1000
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityRMS,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensitySigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/pixelSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjection,Dataset,float64,"(1200,)",1200
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/width,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings,Group,,,
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/delayTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/exposureTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/gain,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/triggerMode,Dataset,|S2,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07,Group,,,
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage,Group,,,
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/beamIntensity,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/beamSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/cogX,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/cogY,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/height,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjection,Dataset,float64,"(1600,)",1600
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/imageRawData,Dataset,int16,"(1200, 1600)",1920000
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/imageTimeStamp,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityHistogram,Dataset,int32,"(1000,)",1000
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityRMS,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensitySigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/pixelSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjection,Dataset,float64,"(1200,)",1200
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/width,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings,Group,,,
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/delayTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/exposureTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/gain,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/triggerMode,Dataset,|S2,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11,Group,,,
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage,Group,,,
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/beamIntensity,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/beamSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/cogX,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/cogY,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/height,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjection,Dataset,float64,"(1280,)",1280
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/imageRawData,Dataset,int16,"(960, 1280)",1228800
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/imageTimeStamp,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityHistogram,Dataset,int32,"(1000,)",1000
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityRMS,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensitySigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/pixelSize,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjAmp,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjAvg,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjSigma,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjection,Dataset,float64,"(960,)",960
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/width,Dataset,int32,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings,Group,,,
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/delayTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/exposureTime,Dataset,float64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/gain,Dataset,int64,"(1,)",1
AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/triggerMode,Dataset,|S2,"(1,)",1
AwakeEventData/BPM.AWAKE.TT41,Group,,,
AwakeEventData/BPM.AWAKE.TT41/Acquisition,Group,,,
AwakeEventData/BPM.AWAKE.TT41/Acquisition/bpmNames,Dataset,|S15,"(32,)",32
AwakeEventData/BPM.AWAKE.TT41/Acquisition/dynDestination,Dataset,|S5,"(1,)",1
AwakeEventData/BPM.AWAKE.TT41/Acquisition/horPosOk,Dataset,TypeError,"(0,)",0
AwakeEventData/BPM.AWAKE.TT41/Acquisition/horPosition,Dataset,float32,"(32,)",32
AwakeEventData/BPM.AWAKE.TT41/Acquisition/nbOfBpms,Dataset,int16,"(1,)",1
AwakeEventData/BPM.AWAKE.TT41/Acquisition/verPosOk,Dataset,TypeError,"(0,)",0
AwakeEventData/BPM.AWAKE.TT41/Acquisition/verPosition,Dataset,float32,"(32,)",32
AwakeEventData/BTV.TT41.412354_FILTER,Group,,,
AwakeEventData/BTV.TT41.412354_FILTER/Acquisition,Group,,,
AwakeEventData/BTV.TT41.412354_FILTER/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/BTV.TT41.412426_FWHEEL,Group,,,
AwakeEventData/BTV.TT41.412426_FWHEEL/Acquisition,Group,,,
AwakeEventData/BTV.TT41.412426_FWHEEL/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/BTV.TT41.412426_MASK_H,Group,,,
AwakeEventData/BTV.TT41.412426_MASK_H/Acquisition,Group,,,
AwakeEventData/BTV.TT41.412426_MASK_H/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/BTV.TT41.412426_MASK_V,Group,,,
AwakeEventData/BTV.TT41.412426_MASK_V/Acquisition,Group,,,
AwakeEventData/BTV.TT41.412426_MASK_V/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/BTV.TT41.412442_FWHEEL,Group,,,
AwakeEventData/BTV.TT41.412442_FWHEEL/Acquisition,Group,,,
AwakeEventData/BTV.TT41.412442_FWHEEL/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/BTV.TT41.412442_MASK_H,Group,,,
AwakeEventData/BTV.TT41.412442_MASK_H/Acquisition,Group,,,
AwakeEventData/BTV.TT41.412442_MASK_H/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/BTV.TT41.412442_MASK_V,Group,,,
AwakeEventData/BTV.TT41.412442_MASK_V/Acquisition,Group,,,
AwakeEventData/BTV.TT41.412442_MASK_V/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/EMETER02,Group,,,
AwakeEventData/EMETER02/Acq,Group,,,
AwakeEventData/EMETER02/Acq/outOfRange,Dataset,bool,(),1
AwakeEventData/EMETER02/Acq/value,Dataset,float32,"(1,)",1
AwakeEventData/EMETER02/Acq/value_units,Dataset,|S1,"(1,)",1
AwakeEventData/EMETER03,Group,,,
AwakeEventData/EMETER03/Acq,Group,,,
AwakeEventData/EMETER03/Acq/outOfRange,Dataset,bool,(),1
AwakeEventData/EMETER03/Acq/value,Dataset,float32,"(1,)",1
AwakeEventData/EMETER03/Acq/value_units,Dataset,|S1,"(1,)",1
AwakeEventData/EMETER04,Group,,,
AwakeEventData/EMETER04/Acq,Group,,,
AwakeEventData/EMETER04/Acq/outOfRange,Dataset,bool,(),1
AwakeEventData/EMETER04/Acq/value,Dataset,float32,"(1,)",1
AwakeEventData/EMETER04/Acq/value_units,Dataset,|S1,"(1,)",1
AwakeEventData/EMETER05,Group,,,
AwakeEventData/EMETER05/Acq,Group,,,
AwakeEventData/EMETER05/Acq/outOfRange,Dataset,bool,(),1
AwakeEventData/EMETER05/Acq/value,Dataset,float32,"(1,)",1
AwakeEventData/EMETER05/Acq/value_units,Dataset,|S1,"(1,)",1
AwakeEventData/FWHEEL01,Group,,,
AwakeEventData/FWHEEL01/Acq,Group,,,
AwakeEventData/FWHEEL01/Acq/backWheelPositionDescription,Dataset,|S6,"(1,)",1
AwakeEventData/FWHEEL01/Acq/frontWheelPositionDescription,Dataset,|S6,"(1,)",1
AwakeEventData/FWHEEL01/Acq/status,Dataset,int32,"(1,)",1
AwakeEventData/GD_BPM.AWAKE.TRIUMF,Group,,,
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS,Group,,,
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/bpmNames,Dataset,|S18,"(14,)",14
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/horPos,Dataset,float32,"(14,)",14
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/nbOfBpms,Dataset,int32,"(1,)",1
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/posOK,Dataset,TypeError,"(1,)",1
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/sigma,Dataset,int32,"(14,)",14
AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/verPos,Dataset,float32,"(14,)",14
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition,Group,,,
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/bpmNames,Dataset,|S18,"(14,)",14
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/horPos,Dataset,float32,"(14,)",14
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/horPosSelected,Dataset,float32,"(14,)",14
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/nbOfBpms,Dataset,int32,"(1,)",1
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/posOK,Dataset,TypeError,"(1,)",1
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/posOkSelected,Dataset,TypeError,"(0,)",0
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/sigma,Dataset,float32,"(14,)",14
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/sigmaSelected,Dataset,int32,"(14,)",14
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/verPos,Dataset,float32,"(14,)",14
AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/verPosSelected,Dataset,float32,"(14,)",14
AwakeEventData/LSSE2,Group,,,
AwakeEventData/LSSE2/Acq,Group,,,
AwakeEventData/LSSE2/Acq/position,Dataset,int32,"(1,)",1
AwakeEventData/LSSP2,Group,,,
AwakeEventData/LSSP2/Acq,Group,,,
AwakeEventData/LSSP2/Acq/position,Dataset,int32,"(1,)",1
AwakeEventData/MPP-TSG41-MIRROR1-H,Group,,,
AwakeEventData/MPP-TSG41-MIRROR1-H/Acquisition,Group,,,
AwakeEventData/MPP-TSG41-MIRROR1-H/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/MPP-TSG41-MIRROR1-V,Group,,,
AwakeEventData/MPP-TSG41-MIRROR1-V/Acquisition,Group,,,
AwakeEventData/MPP-TSG41-MIRROR1-V/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/MPP-TSG41-WHEEL1-BI,Group,,,
AwakeEventData/MPP-TSG41-WHEEL1-BI/Acquisition,Group,,,
AwakeEventData/MPP-TSG41-WHEEL1-BI/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/MPP-VACTRANS-CTR,Group,,,
AwakeEventData/MPP-VACTRANS-CTR/Acquisition,Group,,,
AwakeEventData/MPP-VACTRANS-CTR/Acquisition/mmPosition,Dataset,float64,"(1,)",1
AwakeEventData/MPP-VACTRANS-CTR/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/MPP-VACTRANS-CTR/Acquisition/stepperBusy,Dataset,bool,(),1
AwakeEventData/MPP-VACTRANS-CTR/Acquisition/switchIn,Dataset,bool,(),1
AwakeEventData/MPP-VACTRANS-CTR/Acquisition/switchOut,Dataset,bool,(),1
AwakeEventData/MPP-VACTRANS-OTR,Group,,,
AwakeEventData/MPP-VACTRANS-OTR/Acquisition,Group,,,
AwakeEventData/MPP-VACTRANS-OTR/Acquisition/mmPosition,Dataset,float64,"(1,)",1
AwakeEventData/MPP-VACTRANS-OTR/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/MPP-VACTRANS-OTR/Acquisition/stepperBusy,Dataset,bool,(),1
AwakeEventData/MPP-VACTRANS-OTR/Acquisition/switchIn,Dataset,bool,(),1
AwakeEventData/MPP-VACTRANS-OTR/Acquisition/switchOut,Dataset,bool,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS01,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS02,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS03,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS04,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS09,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS10,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS11,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS12,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS01,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS02,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS03,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS04,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS05,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS06,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS07,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS08,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS09,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS10,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS11,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS12,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS12/Movement,Group,,,
AwakeEventData/MPPAWAKE-STANDA-12.AXIS12/Movement/leftLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS12/Movement/position,Dataset,|S128,(),1
AwakeEventData/MPPAWAKE-STANDA-12.AXIS12/Movement/rightLimitSwitchReached,Dataset,|S128,(),1
AwakeEventData/PMOTOR01,Group,,,
AwakeEventData/PMOTOR01/Acquisition,Group,,,
AwakeEventData/PMOTOR01/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/PMOTOR02,Group,,,
AwakeEventData/PMOTOR02/Acquisition,Group,,,
AwakeEventData/PMOTOR02/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/PMOTOR03,Group,,,
AwakeEventData/PMOTOR03/Acquisition,Group,,,
AwakeEventData/PMOTOR03/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/PMOTOR04,Group,,,
AwakeEventData/PMOTOR04/Acquisition,Group,,,
AwakeEventData/PMOTOR04/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/PMOTOR05,Group,,,
AwakeEventData/PMOTOR05/Acquisition,Group,,,
AwakeEventData/PMOTOR05/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/PMOTOR06,Group,,,
AwakeEventData/PMOTOR06/Acquisition,Group,,,
AwakeEventData/PMOTOR06/Acquisition/position,Dataset,int32,"(1,)",1
